Anno Scolastico;IdNIL;Nil;Totale Iscritti;Iscritti Italiani;Iscritti Stranieri;N D
2009/2010;58;De Angeli - Monte Rosa;351;335;16;
2009/2010;59;Tre Torri;;;;
2009/2010;60;Stadio - Ippodromi;941;799;140;2
2009/2010;61;Quarto Cagnino;240;231;9;
2009/2010;62;Quinto Romano;102;101;1;
2009/2010;63;Figino;62;61;1;
2009/2010;64;Trenno;135;134;1;
2009/2010;65;Q.re Gallaratese - Q.re San Leonardo - Lampugnano;626;616;10;
2009/2010;66;QT 8;240;236;4;
2009/2010;67;Portello;357;349;8;
2009/2010;68;Pagano;583;568;15;
2009/2010;69;Sarpi;595;579;15;1
2009/2010;70;Ghisolfa;;;;
2009/2010;71;Villapizzone - Cagnola - Boldinasco;1132;1096;35;1
2009/2010;72;Maggiore - Musocco - Certosa;170;156;14;
2009/2010;73;Cascina Merlata;;;;
2009/2010;74;Roserio;;;;
2009/2010;75;Stephenson;;;;
2009/2010;76;Quarto Oggiaro - Vialba - Musocco;678;659;17;2
2009/2010;77;Bovisa;427;400;18;9
2009/2010;78;Farini;;;;
2009/2010;79;Dergano;445;426;16;3
2009/2010;80;Affori;485;472;13;
2009/2010;81;Bovisasca;217;212;5;
2009/2010;82;Comasina;259;254;5;
2009/2010;83;Bruzzano;285;272;13;
2009/2010;84;Parco Nord;100;98;2;
2009/2010;85;Parco delle Abbazie;;;;
2009/2010;86;Parco dei Navigli;;;;
2009/2010;87;Assiano;;;;
2009/2010;88;Parco Bosco in citta';;;;
2010/2011;1;Duomo;428;408;19;1
2010/2011;2;Brera;675;622;53;
2010/2011;3;Giardini P.ta Venezia;150;144;6;
2010/2011;4;Guastalla;433;419;14;
2010/2011;5;Porta Vigentina - Porta Lodovica;595;584;11;
2010/2011;6;Porta Ticinese - Conca del Naviglio;720;702;18;
2010/2011;7;Magenta - S.Vittore;774;748;26;
2010/2011;8;Parco Sempione;;;;
2010/2011;9;Porta Garibaldi - Porta Nuova;78;78;;
2010/2011;10;Stazione Centrale - Ponte Seveso;243;234;8;1
2010/2011;11;Isola;435;422;13;
2010/2011;12;Maciachini - Maggiolina;809;791;18;
2010/2011;13;Greco - Segnano;234;227;7;
2010/2011;14;Niguarda - Ca? Granda - Prato Centenaro - Q.re Fulvio Testi;1149;1110;37;2
2010/2011;15;Bicocca;;;;
2010/2011;16;Gorla - Precotto;852;814;37;1
2010/2011;17;Adriano;298;290;8;
2010/2011;18;Cimiano - Rottole - Q.re Feltre;675;613;59;3
2010/2011;19;Padova - Turro - Crescenzago;546;532;14;
2010/2011;20;Loreto - Casoretto - NoLo;843;806;36;1
2010/2011;21;Buenos Aires - Porta Venezia - Porta Monforte;1425;1384;39;2
2010/2011;22;Citta' studi;712;696;16;
2010/2011;23;Lambrate - Ortica;437;424;13;
2010/2011;24;Parco Forlanini - Cavriano;;;;
2010/2011;25;Corsica;592;571;20;1
2010/2011;26;XXII Marzo;771;751;20;
2010/2011;27;Pta Romana;79;78;1;
2010/2011;28;Umbria - Molise - Calvairate;332;321;10;1
2010/2011;29;Ortomercato;173;163;10;
2010/2011;30;Taliedo - Morsenchio - Q.re Forlanini;456;448;8;
2010/2011;31;Monlue' - Ponte Lambro;103;102;1;
