id_amat;id_via;anagrafica;gerarchia;rete;tipologia;sede;marcia;norma;fine_lavor;lunghezza;LONG_X_4326_CENTROID;LAT_Y_4326_CENTROID;Location
791;"2106";BASTIONI DI PORTA VENEZIA;;ciclabile;ciclabile segnaletica;attraversamento;monodirezionale - concorde;attraversamento - ciclabile con lanterna bici;"2011";"14";9.20491334996725;45.47429496232;"(45.474294962320016, 9.204913349967251)"
792;"2715";VIALE CITTA DI FIUME;;ciclabile;ciclabile sede propria;carreggiata;monodirezionale - concorde;corsia ciclabile;"2011";"74";9.20038147499923;45.4761456576543;"(45.476145657654335, 9.200381474999226)"
793;"2106";BASTIONI DI PORTA VENEZIA;;ciclabile;ciclabile sede propria;carreggiata;monodirezionale - concorde;corsia ciclabile;"2011";"13";9.20429291239791;45.4746335814315;"(45.474633581431476, 9.204292912397914)"
794;"2106";BASTIONI DI PORTA VENEZIA;;ciclabile;ciclabile segnaletica;attraversamento;monodirezionale - concorde;attraversamento - ciclabile con lanterna bici;"2011";"26";9.20095604894494;45.4760286632499;"(45.476028663249934, 9.200956048944937)"
795;"1201";VIA VITTOR PISANI;;ciclabile;ciclabile sede propria;carreggiata;monodirezionale - concorde;corsia ciclabile;"2011";"33";9.1991387973475;45.4804808992547;"(45.480480899254744, 9.199138797347503)"
796;"1201";VIA VITTOR PISANI;;ciclabile;ciclabile segnaletica;attraversamento;monodirezionale - concorde;attraversamento - ciclabile;"2011";"13";9.20090182476073;45.4822706392591;"(45.482270639259085, 9.200901824760734)"
797;"1200";PIAZZA DUCA D'AOSTA;;ciclabile;ciclabile segnaletica;attraversamento;bidirezionale;attraversamento - ciclabile;"2011";"8";9.202956679918;45.4838685594878;"(45.48386855948779, 9.202956679918003)"
798;"1200";PIAZZA DUCA D'AOSTA;;ciclabile;ciclabile segnaletica;attraversamento;bidirezionale;attraversamento - ciclabile;"2011";"22";9.20216809950413;45.4848400072864;"(45.48484000728641, 9.202168099504128)"
799;"1201";VIA VITTOR PISANI;;ciclabile;ciclabile sede propria;carreggiata;monodirezionale - concorde;corsia ciclabile;"2011";"10";9.2001410863305;45.4814694532595;"(45.48146945325954, 9.200141086330497)"
800;"1201";VIA VITTOR PISANI;;ciclabile;ciclabile sede propria;carreggiata;monodirezionale - concorde;corsia ciclabile;"2011";"74";9.20058191202155;45.4819549478843;"(45.48195494788432, 9.200581912021555)"
801;"1201";VIA VITTOR PISANI;;ciclabile;ciclabile sede propria;carreggiata;monodirezionale - concorde;corsia ciclabile;"2011";"38";9.20108616379997;45.4824576563178;"(45.48245765631785, 9.201086163799967)"
802;"1201";VIA VITTOR PISANI;;ciclabile;ciclabile segnaletica;attraversamento;monodirezionale - concorde;attraversamento - ciclabile con lanterna bici;"2011";"7";9.20064092408558;45.4824371700001;"(45.482437170000054, 9.200640924085583)"
803;"1201";VIA VITTOR PISANI;;ciclabile;ciclabile segnaletica;attraversamento;monodirezionale - concorde;attraversamento - ciclabile con lanterna bici;"2011";"7";9.19994440635691;45.4817427516518;"(45.481742751651765, 9.199944406356913)"
804;"1055";PIAZZA DELLA REPUBBLICA;;ciclabile;ciclabile segnaletica;attraversamento;monodirezionale - concorde;attraversamento - ciclabile con lanterna bici;"2011";"19";9.19859493963031;45.4804523058266;"(45.48045230582664, 9.198594939630306)"
805;"1175";VIA NAZARIO SAURO;;urbana;promiscuo pedoni;carreggiata;bidirezionale;non regolamentato;"2011";"34";9.19867063136062;45.4910480931489;"(45.49104809314895, 9.198670631360615)"
806;"1055";PIAZZA DELLA REPUBBLICA;;ciclabile;ciclabile sede propria;carreggiata;monodirezionale - concorde;corsia ciclabile;"2011";"89";9.19817466762018;45.4800696443537;"(45.480069644353726, 9.19817466762018)"
807;"1055";PIAZZA DELLA REPUBBLICA;;ciclabile;ciclabile segnaletica;attraversamento;monodirezionale - concorde;attraversamento - ciclabile con lanterna bici;"2011";"25";9.19774840365487;45.4796528342524;"(45.47965283425236, 9.197748403654872)"
808;"1175";VIA NAZARIO SAURO;;urbana;promiscuo pedoni;carreggiata;bidirezionale;non regolamentato;"2011";"34";9.19851563671158;45.4908421066664;"(45.49084210666638, 9.19851563671158)"
809;"1055";PIAZZA DELLA REPUBBLICA;;ciclabile;ciclabile sede propria;carreggiata;monodirezionale - concorde;corsia ciclabile;"2011";"39";9.19752255509799;45.4794139014658;"(45.479413901465776, 9.197522555097994)"
