id_area;municipio;area;località;obj_id;codice;descrizione_codice;data_ini;area_mq;perim_m;LONG_X_4326;LAT_Y_4326;Location
4_047;4;047;vie Mecenate - Maderna;53263;S327554;Area fruizione cani;2011/06/22;777.783761455538;135.969325493984;9.2428877541;45.45497116;"(45.45497116, 9.2428877541)"
4_287;4;287;giardino Candia Marcello;141258;S327554;Area fruizione cani;2011/03/03;603.170968439373;128.590267202331;9.2145276524;45.4462344054;"(45.4462344054, 9.2145276524)"
4_202;4;202;piazza Insubria;45854;S327554;Area fruizione cani;2013/01/28;736.646535080765;139.969104357715;9.2210013283;45.4534258002;"(45.4534258002, 9.2210013283)"
4_029;4;029;via San Martino Don Carlo;170546;S327554;Area fruizione cani;2021/08/17;1589.34536517831;173.019913088917;9.2355810003;45.4655252313;"(45.4655252313, 9.2355810003)"
4_121;4;121;via Rosselli fratelli;105857;S327554;Area fruizione cani;2012/05/15;639.82533469841;106.421180344552;9.225597215;45.4425117319;"(45.4425117319, 9.225597215)"
4_121;4;121;via Rosselli fratelli;105858;S327554;Area fruizione cani;2012/05/15;517.364616984358;92.1229305881783;9.225906636;45.4423270918;"(45.4423270918, 9.225906636)"
4_281;4;281;via Manzù;129857;S327554;Area fruizione cani;2016/04/15;729.926804787639;177.693608652555;9.2399424778;45.4377309725;"(45.4377309725, 9.2399424778)"
4_169;4;169;vie Cadibona - Monte Velino;121932;S327554;Area fruizione cani;2015/03/26;597.560257348931;104.021223037504;9.2280822602;45.4534613512;"(45.4534613512, 9.2280822602)"
4_128;4;128;piazzale Rosa Gabriele;166294;S327554;Area fruizione cani;2018/08/07;930.302147159482;119.928245045253;9.2249448222;45.4374088488;"(45.4374088488, 9.2249448222)"
4_128;4;128;piazzale Rosa Gabriele;166295;S327554;Area fruizione cani;2018/08/07;648.953925746123;105.230988093129;9.2247406537;45.4372359014;"(45.4372359014, 9.2247406537)"
4_280;4;280;via San Venerio;119999;S327554;Area fruizione cani;2014/11/07;582.454500657361;105.501058120212;9.2474677787;45.4363712787;"(45.4363712787, 9.2474677787)"
4_280;4;280;via San Venerio;119998;S327554;Area fruizione cani;2014/11/07;539.4212266275;100.990387471822;9.2478478848;45.4361423575;"(45.4361423575, 9.2478478848)"
4_066;4;066;via Serrati;119733;S327554;Area fruizione cani;2014/10/22;457.556911691981;93.8174625205981;9.2632317588;45.4405841407;"(45.4405841407, 9.2632317588)"
4_076;4;076;parco Galli;43286;S327554;Area fruizione cani;2003/12/11;1981.61597591958;178.452517870722;9.2397241965;45.4552575221;"(45.4552575221, 9.2397241965)"
4_249;4;249;vie Zama - Salomone;123562;S327554;Area fruizione cani;2012/12/31;1719.97473696645;183.836633072872;9.2403420995;45.4512033773;"(45.4512033773, 9.2403420995)"
4_049;4;049;vie Medici del Vascello - Merezzate - Colorni;170503;S327554;Area fruizione cani;2021/08/04;398.865670836219;108.360152285941;9.2409147568;45.442444569;"(45.442444569, 9.2409147568)"
4_282;4;282;via Sordello;49945;S327554;Area fruizione cani;2010/07/07;200.295139676736;66.6798996984943;9.2465899449;45.4442877928;"(45.4442877928, 9.2465899449)"
4_127;4;127;via Rogoredo;25471;S327554;Area fruizione cani;2003/09/15;598.316967449786;105.327883688141;9.2421206733;45.4315837506;"(45.4315837506, 9.2421206733)"
4_127;4;127;via Rogoredo;47915;S327554;Area fruizione cani;2009/07/23;377.672463845062;83.8039019612188;9.2458042897;45.429785746;"(45.429785746, 9.2458042897)"
4_247;4;247;vie Marignano - Busseto - Fidenza;25317;S327554;Area fruizione cani;2005/10/14;433.000100005477;100.875465202552;9.2529813111;45.4262155903;"(45.4262155903, 9.2529813111)"
4_079;4;079;parco Forlanini;169661;S327554;Area fruizione cani;2021/04/12;16616.3027119945;812.405805645604;9.2557547285;45.4667796896;"(45.4667796896, 9.2557547285)"
