Anno Scolastico;IdNIL;Nil;Totale Iscritti;Iscritti Italiani;Iscritti Stranieri;N D
2009/2010;25;Corsica;372;289;83;
2009/2010;26;XXII Marzo;485;417;68;
2009/2010;27;Pta Romana;56;52;4;
2009/2010;28;Umbria - Molise - Calvairate;160;99;61;
2009/2010;29;Ortomercato;;;;
2009/2010;30;Taliedo - Morsenchio - Q.re Forlanini;481;415;66;
2009/2010;31;Monlue' - Ponte Lambro;;;;
2009/2010;32;Triulzo Superiore;;;;
2009/2010;33;Rogoredo - Santa Giulia;140;115;23;2
2009/2010;34;Chiaravalle;;;;
2009/2010;35;Lodi - Corvetto;1030;797;230;3
2009/2010;36;Scalo Romana;;;;
2009/2010;37;Morivione;230;192;38;
2009/2010;38;Vigentino - Q.re Fatima;229;203;26;
2009/2010;39;Quintosole;;;;
2009/2010;40;Ronchetto delle Rane;;;;
2009/2010;41;Gratosoglio - Q.re Missaglia - Q.re Terrazze;470;420;50;
2009/2010;42;Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata;621;531;89;1
2009/2010;43;Tibaldi;151;149;2;
2009/2010;44;Porta Ticinese - Conchetta;;;;
2009/2010;45;Moncucco - San Cristoforo;131;102;29;
2009/2010;46;Barona;277;252;25;
2009/2010;47;Cantalupa;;;;
2009/2010;48;Ronchetto sul Naviglio - Q.re Lodovico il Moro;490;431;58;1
2009/2010;49;Giambellino;490;465;25;
2009/2010;50;Porta Genova;;;;
