Quotazioni Immobiliari : Valori di Mercato - Semestre 2024/2 - elaborazione del 21-AGO-25
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
NORD-OVEST;LOMBARDIA;LC;3097004;C4AZ; ;A594;BALLABIO;B;B2;LC00002535;6;Uffici;NORMALE;P;1150;1600;L;5;7,2;L;
NORD-OVEST;LOMBARDIA;LC;3097004;C4AZ; ;A594;BALLABIO;B;B2;LC00002535;8;Capannoni industriali;NORMALE;P;500;730;L;;;;
NORD-OVEST;LOMBARDIA;LC;3097004;C4AZ; ;A594;BALLABIO;B;B2;LC00002535;10;Laboratori;NORMALE;P;500;730;L;;;;
NORD-OVEST;LOMBARDIA;LC;3097004;C4AZ; ;A594;BALLABIO;R;R1;LC00002977;20;Abitazioni civili;NORMALE;P;1100;1550;L;4,4;6,6;L;
NORD-OVEST;LOMBARDIA;LC;3097004;C4AZ; ;A594;BALLABIO;R;R1;LC00002977;21;Abitazioni di tipo economico;NORMALE;P;900;1100;L;3,4;4,6;L;
NORD-OVEST;LOMBARDIA;LC;3097004;C4AZ; ;A594;BALLABIO;R;R1;LC00002977;13;Box;NORMALE;P;900;1200;L;4,2;5,4;L;
NORD-OVEST;LOMBARDIA;LC;3097004;C4AZ; ;A594;BALLABIO;R;R1;LC00002977;1;Ville e Villini;NORMALE;P;1200;1800;L;5;7,5;L;
NORD-OVEST;LOMBARDIA;LC;3097005;C4BF; ;A683;BARZAGO;B;B2;LC00002536;20;Abitazioni civili;NORMALE;P;900;1250;L;3,5;4,5;L;
NORD-OVEST;LOMBARDIA;LC;3097005;C4BF; ;A683;BARZAGO;B;B2;LC00002536;21;Abitazioni di tipo economico;NORMALE;P;700;900;L;2,5;3,5;L;
NORD-OVEST;LOMBARDIA;LC;3097005;C4BF; ;A683;BARZAGO;B;B2;LC00002536;13;Box;NORMALE;P;880;1100;L;3,8;4,6;L;
NORD-OVEST;LOMBARDIA;LC;3097005;C4BF; ;A683;BARZAGO;B;B2;LC00002536;1;Ville e Villini;NORMALE;P;1000;1400;L;3,8;5,4;L;
NORD-OVEST;LOMBARDIA;LC;3097005;C4BF; ;A683;BARZAGO;B;B2;LC00002536;9;Magazzini;NORMALE;P;400;520;L;;;;
NORD-OVEST;LOMBARDIA;LC;3097005;C4BF; ;A683;BARZAGO;B;B2;LC00002536;5;Negozi;NORMALE;P;900;1300;L;4,4;6,4;L;
NORD-OVEST;LOMBARDIA;LC;3097005;C4BF; ;A683;BARZAGO;B;B2;LC00002536;6;Uffici;NORMALE;P;900;1250;L;3,5;4,6;L;
NORD-OVEST;LOMBARDIA;LC;3097005;C4BF; ;A683;BARZAGO;B;B2;LC00002536;8;Capannoni industriali;NORMALE;P;450;650;L;;;;
NORD-OVEST;LOMBARDIA;LC;3097005;C4BF; ;A683;BARZAGO;B;B2;LC00002536;10;Laboratori;NORMALE;P;460;650;L;;;;
